identifier,source_ref,expected_title,observed_title,expected_dimension,observed_dimension,expected_indicator,observed_indicator,indicator_id,status,error
urn:sds:reg:gri:gri_101_7_a,GRI Official,"for each site reported under 101-5-a, report the following information on affected or potentially affected ecosystems:","for each site reported under 101-5-a, report the following information on affected or potentially affected ecosystems:",E,E,"for each site reported under 101-5-a, report the following information on affected or potentially affected ecosystems:","for each site reported under 101-5-a, report the following information on affected or potentially affected ecosystems:",urn:ngsi-ld:Indicator:for_each_site_reported_under_101-5-a_report_the_following_information_on_affected_or_potentially,success,
urn:sds:reg:esrs:e1_1_11,ESRS Official,Significant CapEx for gas-related economic activities,Significant CapEx for gas-related economic activities,E,E,Significant CapEx for gas-related economic activities,Significant CapEx for gas-related economic activities,urn:ngsi-ld:Indicator:Significant_CapEx_for_gas-related_economic_activities,success,
urn:sds:reg:gri:gri_101_7_a_i,GRI Official,the ecosystem type for the base year;,the ecosystem type for the base year;,E,E,the ecosystem type for the base year;,the ecosystem type for the base year;,urn:ngsi-ld:Indicator:the_ecosystem_type_for_the_base_year_,success,
urn:sds:reg:esrs:e1_1_12,ESRS Official,Undertaking is excluded from EU Paris-aligned Benchmarks,Undertaking is excluded from EU Paris-aligned Benchmarks,E,E,Undertaking is excluded from EU Paris-aligned Benchmarks,Undertaking is excluded from EU Paris-aligned Benchmarks,urn:ngsi-ld:Indicator:Undertaking_is_excluded_from_EU_Paris-aligned_Benchmarks,success,
urn:sds:reg:gri:gri_101_7_a_ii,GRI Official,the ecosystem size in hectares for the base year;,the ecosystem size in hectares for the base year;,E,E,the ecosystem size in hectares for the base year;,the ecosystem size in hectares for the base year;,urn:ngsi-ld:Indicator:the_ecosystem_size_in_hectares_for_the_base_year_,success,
urn:sds:reg:esrs:e1_1_13,ESRS Official,Explanation of how transition plan is embedded in and aligned with overall business strategy and financial planning,Explanation of how transition plan is embedded in and aligned with overall business strategy and financial planning,E,E,Explanation of how transition plan is embedded in and aligned with overall business strategy and financial planning,Explanation of how transition plan is embedded in and aligned with overall business strategy and financial planning,urn:ngsi-ld:Indicator:Explanation_of_how_transition_plan_is_embedded_in_and_aligned_with_overall_business_strategy_and,success,
urn:sds:reg:gri:gri_101_7_a_iii,GRI Official,the ecosystem condition for the base year and the current reporting period;,the ecosystem condition for the base year and the current reporting period;,E,E,the ecosystem condition for the base year and the current reporting period;,the ecosystem condition for the base year and the current reporting period;,urn:ngsi-ld:Indicator:the_ecosystem_condition_for_the_base_year_and_the_current_reporting_period_,success,
urn:sds:reg:esrs:e1_1_14,ESRS Official,"Transition plan is approved by administrative, management and supervisory bodies","Transition plan is approved by administrative, management and supervisory bodies",E,E,"Transition plan is approved by administrative, management and supervisory bodies","Transition plan is approved by administrative, management and supervisory bodies",urn:ngsi-ld:Indicator:Transition_plan_is_approved_by_administrative_management_and_supervisory_bodies,success,
urn:sds:reg:gri:gri_101_7_b,GRI Official,"report contextual information necessary to understand how the data has been compiled, including standards, methodologies, and assumptions used.","report contextual information necessary to understand how the data has been compiled, including standards, methodologies, and assumptions used.",E,E,"report contextual information necessary to understand how the data has been compiled, including standards, methodologies, and assumptions used.","report contextual information necessary to understand how the data has been compiled, including standards, methodologies, and assumptions used.",urn:ngsi-ld:Indicator:report_contextual_information_necessary_to_understand_how_the_data_has_been_compiled_including_s,success,
urn:sds:reg:esrs:e1_1_15,ESRS Official,Explanation of progress in implementing transition plan,Explanation of progress in implementing transition plan,E,E,Explanation of progress in implementing transition plan,Explanation of progress in implementing transition plan,urn:ngsi-ld:Indicator:Explanation_of_progress_in_implementing_transition_plan,success,
urn:sds:reg:gri:gri_101_8_a,GRI Official,"for each site reported under 101-5-a, list the ecosystem services and beneficiaries affected or potentially affected by the organization’s activities;","for each site reported under 101-5-a, list the ecosystem services and beneficiaries affected or potentially affected by the organization’s activities;",E,E,"for each site reported under 101-5-a, list the ecosystem services and beneficiaries affected or potentially affected by the organization’s activities;","for each site reported under 101-5-a, list the ecosystem services and beneficiaries affected or potentially affected by the organization’s activities;",urn:ngsi-ld:Indicator:for_each_site_reported_under_101-5-a_list_the_ecosystem_services_and_beneficiaries_affected_or_p,success,
urn:sds:reg:esrs:e1_1_16,ESRS Official,Date of adoption of transition plan for undertakings not having adopted transition plan yet,Date of adoption of transition plan for undertakings not having adopted transition plan yet,E,E,Date of adoption of transition plan for undertakings not having adopted transition plan yet,Date of adoption of transition plan for undertakings not having adopted transition plan yet,urn:ngsi-ld:Indicator:Date_of_adoption_of_transition_plan_for_undertakings_not_having_adopted_transition_plan_yet,success,
urn:sds:reg:gri:gri_101_8_b,GRI Official,explain how the ecosystem services and beneficiaries are or could be affected by the organization's activities.,explain how the ecosystem services and beneficiaries are or could be affected by the organization's activities.,E,E,explain how the ecosystem services and beneficiaries are or could be affected by the organization's activities.,explain how the ecosystem services and beneficiaries are or could be affected by the organization's activities.,urn:ngsi-ld:Indicator:explain_how_the_ecosystem_services_and_beneficiaries_are_or_could_be_affected_by_the_organizatio,success,
urn:sds:reg:esrs:e1_2_01,ESRS Official,Sustainability matters addressed by policy for climate change,Sustainability matters addressed by policy for climate change,E,E,Sustainability matters addressed by policy for climate change,Sustainability matters addressed by policy for climate change,urn:ngsi-ld:Indicator:Sustainability_matters_addressed_by_policy_for_climate_change,success,
urn:sds:reg:gri:gri_201_1_a,GRI Official,"Direct economic value generated and distributed (EVG&D) on an accruals basis, including the basic components for the organization’s global operations as listed below. If data are presented on a cash basis, report the justification for this decision in addition to reporting the following basic components:","Direct economic value generated and distributed (EVG&D) on an accruals basis, including the basic components for the organization’s global operations as listed below. If data are presented on a cash basis, report the justification for this decision in addition to reporting the following basic components:",G,G,"Direct economic value generated and distributed (EVG&D) on an accruals basis, including the basic components for the organization’s global operations as listed below. If data are presented on a cash basis, report the justification for this decision in addition to reporting the following basic components:","Direct economic value generated and distributed (EVG&D) on an accruals basis, including the basic components for the organization’s global operations as listed below. If data are presented on a cash basis, report the justification for this decision in addition to reporting the following basic components:",urn:ngsi-ld:Indicator:Direct_economic_value_generated_and_distributed_EVG_D_on_an_accruals_basis_including_the_basic_c,success,
