identifier,source_ref,dimension,dataset_id,indicator_id,policy_count,status,error
urn:sds:reg:esrs:e1_6_01,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_6_01,urn:ngsi-ld:Indicator:Gross_Scopes_1_2_3_and_Total_GHG_emissions_-_GHG_emissions_per_scope,2,success,
urn:sds:reg:esrs:e1_6_02,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_6_02,urn:ngsi-ld:Indicator:Gross_Scopes_1_2_3_and_Total_GHG_emissions_-_financial_and_operational_control,2,success,
urn:sds:reg:esrs:e1_6_03,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_6_03,urn:ngsi-ld:Indicator:Disaggregation_of_GHG_emissions_-_by_country_operating_segments_economic_activity_subsidiary_GHG,2,success,
urn:sds:reg:esrs:e1_6_04,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_6_04,urn:ngsi-ld:Indicator:Gross_Scopes_1_2_3_and_Total_GHG_emissions_-_Scope_3_GHG_emissions_GHG_Protocol_,2,success,
urn:sds:reg:esrs:e1_6_05,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_6_05,urn:ngsi-ld:Indicator:Gross_Scopes_1_2_3_and_Total_GHG_emissions_-_Scope_3_GHG_emissions_ISO_14064-1_,2,success,
urn:sds:reg:esrs:e1_6_06,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_6_06,urn:ngsi-ld:Indicator:Gross_Scopes_1_2_3_and_Total_GHG_emissions_-_total_GHG_emissions_-_value_chain,2,success,
urn:sds:reg:esrs:e1_6_07,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_6_07,urn:ngsi-ld:Indicator:Gross_Scope_1_greenhouse_gas_emissions,2,success,
urn:sds:reg:esrs:e1_6_08,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_6_08,urn:ngsi-ld:Indicator:Percentage_of_Scope_1_GHG_emissions_from_regulated_emission_trading_schemes,2,success,
urn:sds:reg:esrs:e1_6_09,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_6_09,urn:ngsi-ld:Indicator:Gross_location-based_Scope_2_greenhouse_gas_emissions,2,success,
urn:sds:reg:esrs:e1_6_10,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_6_10,urn:ngsi-ld:Indicator:Gross_market-based_Scope_2_greenhouse_gas_emissions,2,success,
urn:sds:reg:esrs:e1_6_11,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_6_11,urn:ngsi-ld:Indicator:Gross_Scope_3_greenhouse_gas_emissions,2,success,
urn:sds:reg:esrs:e1_6_12,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_6_12,urn:ngsi-ld:Indicator:Total_GHG_emissions_location_based,2,success,
urn:sds:reg:esrs:e1_6_13,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_6_13,urn:ngsi-ld:Indicator:Total_GHG_emissions_market_based,2,success,
urn:sds:reg:esrs:e1_6_14,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_6_14,urn:ngsi-ld:Indicator:Disclosure_of_significant_changes_in_definition_of_what_constitutes_reporting_undertaking_and_it,2,success,
urn:sds:reg:esrs:e1_6_15,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_6_15,urn:ngsi-ld:Indicator:Disclosure_of_methodologies_significant_assumptions_and_emissions_factors_used_to_calculate_or_m,2,success,
urn:sds:reg:esrs:e1_6_16,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_6_16,urn:ngsi-ld:Indicator:Disclosure_of_the_effects_of_significant_events_and_changes_in_circumstances_relevant_to_its_GHG,2,success,
urn:sds:reg:esrs:e1_6_17,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_6_17,urn:ngsi-ld:Indicator:biogenic_emissions_of_CO2_from_the_combustion_or_bio-degradation_of_biomassnot_included_in_Scope,2,success,
urn:sds:reg:esrs:e1_6_18,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_6_18,urn:ngsi-ld:Indicator:Percentage_of_contractual_instruments_Scope_2_GHG_emissions,2,success,
urn:sds:reg:esrs:e1_6_19,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_6_19,urn:ngsi-ld:Indicator:Disclosure_of_types_of_contractual_instruments_Scope_2_GHG_emissions,2,success,
