identifier,source_ref,dimension,dataset_id,indicator_id,policy_count,status,error
urn:sds:reg:esrs:e1_4_15,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_4_15,urn:ngsi-ld:Indicator:Absolute_value_of_Scope_3_Greenhouse_gas_emissions_reduction,2,success,
urn:sds:reg:esrs:e1_4_16,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_4_16,urn:ngsi-ld:Indicator:Percentage_of_Scope_3_Greenhouse_gas_emissions_reduction_as_of_emissions_of_base_year_,2,success,
urn:sds:reg:esrs:e1_4_17,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_4_17,urn:ngsi-ld:Indicator:Intensity_value_of_Scope_3_Greenhouse_gas_emissions_reduction,2,success,
urn:sds:reg:esrs:e1_4_18,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_4_18,urn:ngsi-ld:Indicator:Explanation_of_how_consistency_of_GHG_emission_reduction_targets_with_GHG_inventory_boundaries_h,2,success,
urn:sds:reg:esrs:e1_4_19,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_4_19,urn:ngsi-ld:Indicator:Disclosure_of_past_progress_made_in_meeting_target_before_current_base_year,2,success,
urn:sds:reg:esrs:e1_4_20,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_4_20,urn:ngsi-ld:Indicator:Description_of_how_it_has_been_ensured_that_baseline_value_is_representative_in_terms_of_activit,2,success,
urn:sds:reg:esrs:e1_4_21,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_4_21,urn:ngsi-ld:Indicator:Description_of_how_new_baseline_value_affects_new_target_its_achievement_and_presentation_of_pro,2,success,
urn:sds:reg:esrs:e1_4_22,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_4_22,urn:ngsi-ld:Indicator:GHG_emission_reduction_target_is_science_based_and_compatible_with_limiting_global_warming_to_on,2,success,
urn:sds:reg:esrs:e1_4_23,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_4_23,urn:ngsi-ld:Indicator:Description_of_expected_decarbonisation_levers_and_their_overall_quantitative_contributions_to_a,2,success,
urn:sds:reg:esrs:e1_4_24,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_4_24,urn:ngsi-ld:Indicator:Diverse_range_of_climate_scenarios_have_been_considered_to_detect_relevant_environmental_societa,2,success,
urn:sds:reg:esrs:e1_5_01,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_5_01,urn:ngsi-ld:Indicator:Total_energy_consumption_related_to_own_operations,2,success,
urn:sds:reg:esrs:e1_5_02,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_5_02,urn:ngsi-ld:Indicator:Total_energy_consumption_from_fossil_sources,2,success,
urn:sds:reg:esrs:e1_5_03,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_5_03,urn:ngsi-ld:Indicator:Total_energy_consumption_from_nuclear_sources,2,success,
urn:sds:reg:esrs:e1_5_04,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_5_04,urn:ngsi-ld:Indicator:Percentage_of_energy_consumption_from_nuclear_sources_in_total_energy_consumption,2,success,
urn:sds:reg:esrs:e1_5_05,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_5_05,urn:ngsi-ld:Indicator:Total_energy_consumption_from_renewable_sources,2,success,
